少年奇幻世界,#genre#
女娲补天,https://hls.cntv.myhwcdn.cn/asp/hls/main/0303000a/3/default/ea53bdbe8e4e4f0ead0dab8f41231f31/main.m3u8?contentid=15120519184043&maxbr=1400
仓颉造字,https://hls.cntv.myhwcdn.cn/asp/hls/main/0303000a/3/default/e189d4648e7c481e8cd73fd153816598/main.m3u8
神农尝百草,https://hls.cntv.myhwcdn.cn/asp/hls/main/0303000a/3/default/dd33b0ff218346be9d88494fec61254b/main.m3u8?contentid=15120519184043&maxbr=1400

小小世界,#genre#
片头曲  小小世界,https://mvwebfs.ali.kugou.com/202403201911/d87ba16a73baa203d8f46de7f535f07a/KGTX/CLTX002/7a23a65beff33157a981866e827ee4a1.mp4
片尾曲  奇幻冒险,https://txmov2.a.kwimgs.com/upic/2024/03/10/18/BMjAyNDAzMTAxODE5MTRfMTgwMTc0MDczM18xMjcwMTkxODAzMDBfMl8z_b_Ba7b5db6fe20d18bec767a08922ba3da7.mp4
第1集  初建乐园,https://aweme.snssdk.com/aweme/v1/play/?video_id=v0300fg10000cnlg1pbc77ufcmfrv660&ratio=1080p
第2集  失去缩小手电筒,https://aweme.snssdk.com/aweme/v1/play/?video_id=v0300fg10000cnmjs83c77ufveuvtnb0&ratio=1080p
第3集  小镇历险,https://aweme.snssdk.com/aweme/v1/play/?video_id=v0200fg10000cnmk883c77u3p691r6v0&ratio=1080p
第4集  古董店迷踪,https://aweme.snssdk.com/aweme/v1/play/?video_id=v0d00fg10000cnmkci3c77u9lhit5a70&ratio=1080p
第5集  昆虫之神（上）,https://aweme.snssdk.com/aweme/v1/play/?video_id=v0d00fg10000cnmkhs3c77uc42v1voog&ratio=1080p
第6集  昆虫之神（下）,https://aweme.snssdk.com/aweme/v1/play/?video_id=v0300fg10000cnmklfrc77u7npn4oj60&ratio=1080p
第7集  智抓小偷,https://aweme.snssdk.com/aweme/v1/play/?video_id=v0300fg10000cnmknb3c77uegvsemb0g&ratio=1080p
第8集  光头强的修理铺,https://aweme.snssdk.com/aweme/v1/play/?video_id=v0d00fg10000cnmnr1bc77u05p12qetg&ratio=1080p
第9集  珍贵的礼物,https://aweme.snssdk.com/aweme/v1/play/?video_id=v0200fg10000cnqr213c77uc8h91lop0&ratio=1080p
第10集  勤劳的光头强,https://aweme.snssdk.com/aweme/v1/play/?video_id=v0200fg10000cnr49f3c77ubllk1l5ng&ratio=1080p
第11集  小蟋蟀营救行动,https://aweme.snssdk.com/aweme/v1/play/?video_id=v0300fg10000cnrcjgrc77ubgt9u2mrg&ratio=1080p
第12集  再遇特靠谱,https://aweme.snssdk.com/aweme/v1/play/?video_id=v0300fg10000cnrcqm3c77ues7r59i1g&ratio=1080p
第13集  妈妈的生日,https://aweme.snssdk.com/aweme/v1/play/?video_id=v0d00fg10000cnt6pqrc77uc9ji87pb0&ratio=1080p
第14集  真假熊大,https://vdse.bdstatic.com//df6314e9f1c352b236bd079156829f05.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-04-13T01%3A17%3A16Z%2F-1%2Fhost%2F5d37e7fbb1e87bfa569057ba1fdd4865770af1e80439667b35960b3f8711266c
第15集  阁楼历险,https://vdse.bdstatic.com//0c386fdfaf9c780db4ae8cbb7c995384.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-04-13T02%3A43%3A57Z%2F-1%2Fhost%2F955e78efac42678ff59eb488bf9f1075addba4eb636b9e24a7c4a770a5d8082f
第16集  独居爷爷,https://txmov2.a.kwimgs.com/bs3/video-hls/5199968845823105132_hlsb.m3u8
第17集  风暴来袭（上）,https://txmov2.a.kwimgs.com/bs3/video-hls/5193213445029300641_hlsb.m3u8
